Rank,Reduction_Method,Reduction_Description,Model,Model_Class,N_Components,Accuracy_Mean,Accuracy_Std,F1_Macro,F1_Weighted,Precision_Macro,Recall_Macro,ROC_AUC,CV1,CV2,CV3,CV4,CV5
301,pca_5,PCA-5,LGBM_default,LGBMClassifier,5,0.72,0.0884,0.6259,0.6866,0.6366,0.65,0.732,0.7333,0.6,0.7333,0.8667,0.6667
302,pca_5,PCA-5,HistGB_default,HistGradientBoostingClassifier,5,0.72,0.0653,0.6204,0.6832,0.6729,0.64,0.774,0.7333,0.6,0.7333,0.8,0.7333
303,pca_5,PCA-5,RF_default,RandomForestClassifier,5,0.72,0.0777,0.6463,0.6964,0.7191,0.66,0.798,0.6667,0.6667,0.8667,0.6667,0.7333
304,pca_10,PCA-10,LGBM_default,LGBMClassifier,10,0.72,0.1067,0.6209,0.6821,0.6696,0.66,0.752,0.6,0.6,0.8,0.8667,0.7333
305,selectkbest_f_classif_5,SelectKBest-f_classif-5,KNN_weighted,KNeighborsClassifier,5,0.72,0.0653,0.6627,0.7074,0.6835,0.67,0.722,0.7333,0.6,0.8,0.7333,0.7333
306,selectkbest_f_classif_5,SelectKBest-f_classif-5,SVM_linear,SVC,5,0.72,0.0777,0.5826,0.6617,0.6919,0.6,0.856,0.6667,0.6,0.8,0.8,0.7333
307,selectfrommodel_xgb_5,SelectFromModel-XGB-5,SVM_linear,SVC,5,0.72,0.1067,0.6565,0.7041,0.6742,0.67,0.852,0.6,0.6,0.8667,0.8,0.7333
308,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,LDA_default,LinearDiscriminantAnalysis,5,0.72,0.098,0.6144,0.6808,0.7268,0.62,0.816,0.5333,0.7333,0.8,0.8,0.7333
309,selectfrommodel_rf_5,SelectFromModel-RF-5,MLP_medium,MLPClassifier,5,0.72,0.1485,0.6853,0.7155,0.7044,0.69,0.776,0.7333,0.6667,0.8667,0.4667,0.8667
310,selectkbest_f_classif_5,SelectKBest-f_classif-5,XGB_tuned,XGBClassifier,5,0.72,0.0777,0.6649,0.7062,0.6859,0.69,0.74,0.6667,0.6,0.8,0.7333,0.8
311,selectfrommodel_rf_5,SelectFromModel-RF-5,Ridge_alpha1,RidgeClassifier,5,0.72,0.098,0.6202,0.6828,0.6806,0.64,0.836,0.6,0.6,0.8,0.8,0.8
312,selectfrommodel_rf_5,SelectFromModel-RF-5,LGBM_tuned,LGBMClassifier,5,0.72,0.1759,0.6862,0.7173,0.7115,0.68,0.788,0.7333,0.7333,0.8,0.4,0.9333
313,selectfrommodel_xgb_5,SelectFromModel-XGB-5,RF_extratrees,ExtraTreesClassifier,5,0.72,0.0884,0.6524,0.6997,0.7199,0.67,0.832,0.6667,0.7333,0.8667,0.6,0.7333
314,selectfrommodel_rf_5,SelectFromModel-RF-5,XGB_default,XGBClassifier,5,0.72,0.0499,0.6611,0.7038,0.7518,0.67,0.836,0.7333,0.7333,0.6667,0.6667,0.8
315,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,LR_l1,LogisticRegression,5,0.72,0.0777,0.6232,0.6863,0.748,0.62,0.832,0.6,0.6667,0.8,0.8,0.7333
316,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,LDA_solver_svd,LinearDiscriminantAnalysis,5,0.72,0.098,0.6144,0.6808,0.7268,0.62,0.816,0.5333,0.7333,0.8,0.8,0.7333
317,selectfrommodel_rf_5,SelectFromModel-RF-5,Ridge_default,RidgeClassifier,5,0.72,0.098,0.6202,0.6828,0.6806,0.64,0.836,0.6,0.6,0.8,0.8,0.8
318,selectfrommodel_rf_5,SelectFromModel-RF-5,KNN_7,KNeighborsClassifier,5,0.7067,0.0533,0.6394,0.6855,0.6853,0.66,0.756,0.7333,0.6667,0.8,0.6667,0.6667
319,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,Ridge_default,RidgeClassifier,5,0.7067,0.0998,0.5813,0.6576,0.706,0.59,0.816,0.5333,0.6667,0.8,0.8,0.7333
320,selectfrommodel_rf_5,SelectFromModel-RF-5,KNN_3,KNeighborsClassifier,5,0.7067,0.1497,0.649,0.6904,0.6859,0.66,0.712,0.7333,0.6667,0.9333,0.4667,0.7333
321,selectkbest_f_classif_5,SelectKBest-f_classif-5,RF_default,RandomForestClassifier,5,0.7067,0.068,0.6504,0.6944,0.6746,0.66,0.718,0.7333,0.6,0.8,0.6667,0.7333
322,selectfrommodel_rf_5,SelectFromModel-RF-5,KNN_5,KNeighborsClassifier,5,0.7067,0.1083,0.6506,0.6922,0.7039,0.66,0.778,0.6,0.6667,0.8667,0.6,0.8
323,selectfrommodel_rf_10,SelectFromModel-RF-10,DT_default,DecisionTreeClassifier,10,0.7067,0.068,0.6818,0.7109,0.6812,0.69,0.69,0.6667,0.6,0.8,0.7333,0.7333
324,selectkbest_f_classif_5,SelectKBest-f_classif-5,XGB_default,XGBClassifier,5,0.7067,0.068,0.6524,0.6936,0.675,0.68,0.724,0.6667,0.6,0.7333,0.7333,0.8
325,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,KNN_5,KNeighborsClassifier,5,0.7067,0.0904,0.6384,0.6877,0.6893,0.65,0.77,0.6,0.6,0.7333,0.8,0.8
326,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,KNN_3,KNeighborsClassifier,5,0.7067,0.1162,0.6276,0.6823,0.6565,0.65,0.744,0.5333,0.6,0.8,0.8,0.8
327,selectkbest_f_classif_5,SelectKBest-f_classif-5,KNN_5,KNeighborsClassifier,5,0.7067,0.08,0.6338,0.6864,0.6795,0.64,0.722,0.6667,0.6,0.8,0.6667,0.8
328,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,RF_extratrees,ExtraTreesClassifier,5,0.7067,0.1083,0.669,0.7042,0.7026,0.67,0.722,0.6,0.6667,0.6,0.8667,0.8
329,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,Ridge_alpha1,RidgeClassifier,5,0.7067,0.0998,0.5813,0.6576,0.706,0.59,0.816,0.5333,0.6667,0.8,0.8,0.7333
330,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,LR_l2,LogisticRegression,5,0.7067,0.0998,0.5813,0.6576,0.706,0.59,0.82,0.5333,0.6667,0.8,0.8,0.7333
331,pca_5,PCA-5,DT_pruned,DecisionTreeClassifier,5,0.7067,0.1436,0.6736,0.7061,0.6818,0.68,0.7,0.6,0.6667,0.9333,0.5333,0.8
332,selectfrommodel_xgb_5,SelectFromModel-XGB-5,DT_default,DecisionTreeClassifier,5,0.6933,0.1083,0.6359,0.6801,0.6936,0.65,0.65,0.5333,0.8667,0.6667,0.6667,0.7333
333,selectfrommodel_xgb_5,SelectFromModel-XGB-5,DT_pruned,DecisionTreeClassifier,5,0.6933,0.1083,0.6359,0.6801,0.6936,0.65,0.646,0.5333,0.8667,0.6667,0.6667,0.7333
334,selectkbest_f_classif_5,SelectKBest-f_classif-5,RF_tuned,RandomForestClassifier,5,0.6933,0.068,0.6254,0.6754,0.6522,0.64,0.724,0.6667,0.6,0.8,0.6667,0.7333
335,pca_10,PCA-10,NB_bernoulli,BernoulliNB,10,0.6933,0.1162,0.577,0.6481,0.5611,0.62,0.66,0.6,0.6,0.8667,0.8,0.6
336,pca_10,PCA-10,QDA_default,QuadraticDiscriminantAnalysis,10,0.6933,0.0998,0.6471,0.689,0.6515,0.65,0.74,0.6667,0.8,0.8,0.6667,0.5333
337,selectfrommodel_rf_5,SelectFromModel-RF-5,SVM_rbf_tuned,SVC,5,0.6933,0.1769,0.6495,0.6827,0.6717,0.66,0.772,0.7333,0.6,0.8667,0.4,0.8667
338,selectfrommodel_xgb_10,SelectFromModel-XGB-10,DT_pruned,DecisionTreeClassifier,10,0.6933,0.1083,0.6359,0.6801,0.6936,0.65,0.646,0.5333,0.8667,0.6667,0.6667,0.7333
339,selectkbest_f_classif_5,SelectKBest-f_classif-5,SVM_rbf,SVC,5,0.6933,0.08,0.5502,0.6343,0.6841,0.57,0.776,0.6,0.6,0.8,0.7333,0.7333
340,none,No Reduction,LGBM_default,LGBMClassifier,14,0.6933,0.1373,0.6439,0.6848,0.6978,0.64,0.776,0.5333,0.7333,0.8667,0.5333,0.8
341,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,LR_default,LogisticRegression,5,0.6933,0.1083,0.5722,0.6478,0.6868,0.58,0.828,0.5333,0.6,0.8,0.8,0.7333
342,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,DT_default,DecisionTreeClassifier,5,0.6933,0.0904,0.6345,0.6791,0.6972,0.65,0.65,0.5333,0.7333,0.6667,0.8,0.7333
343,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,KNN_weighted,KNeighborsClassifier,5,0.6933,0.0998,0.6165,0.6698,0.6786,0.64,0.786,0.6,0.6,0.6667,0.8667,0.7333
344,none,No Reduction,DT_entropy,DecisionTreeClassifier,14,0.6933,0.0327,0.6654,0.6958,0.6709,0.68,0.68,0.7333,0.6667,0.6667,0.7333,0.6667
345,selectfrommodel_xgb_10,SelectFromModel-XGB-10,DT_default,DecisionTreeClassifier,10,0.6933,0.1083,0.6359,0.6801,0.6936,0.65,0.65,0.5333,0.8667,0.6667,0.6667,0.7333
346,selectfrommodel_xgb_10,SelectFromModel-XGB-10,KNN_3,KNeighborsClassifier,10,0.6933,0.0904,0.6196,0.6694,0.7038,0.64,0.77,0.6667,0.7333,0.8,0.5333,0.7333
347,selectfrommodel_xgb_5,SelectFromModel-XGB-5,KNN_3,KNeighborsClassifier,5,0.6933,0.0904,0.6196,0.6694,0.7038,0.64,0.77,0.6667,0.7333,0.8,0.5333,0.7333
348,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,MLP_medium,MLPClassifier,5,0.6933,0.0998,0.6287,0.6762,0.6886,0.65,0.732,0.6,0.6,0.6667,0.8667,0.7333
349,pca_10,PCA-10,DT_default,DecisionTreeClassifier,10,0.68,0.1543,0.6486,0.6792,0.6628,0.66,0.66,0.6,0.7333,0.9333,0.4667,0.6667
350,selectfrommodel_xgb_5,SelectFromModel-XGB-5,GB_tuned,GradientBoostingClassifier,5,0.68,0.1067,0.6378,0.6745,0.6767,0.65,0.692,0.5333,0.8,0.6,0.6667,0.8
351,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,GB_default,GradientBoostingClassifier,5,0.68,0.0884,0.6247,0.6691,0.645,0.64,0.772,0.5333,0.7333,0.6667,0.8,0.6667
352,selectfrommodel_xgb_10,SelectFromModel-XGB-10,GB_tuned,GradientBoostingClassifier,10,0.68,0.1067,0.6378,0.6745,0.6767,0.65,0.692,0.5333,0.8,0.6,0.6667,0.8
353,pca_5,PCA-5,LDA_solver_lsqr,LinearDiscriminantAnalysis,5,0.68,0.0499,0.5624,0.6343,0.6323,0.59,0.756,0.7333,0.6667,0.7333,0.6667,0.6
354,pca_10,PCA-10,DT_pruned,DecisionTreeClassifier,10,0.68,0.1543,0.6486,0.6792,0.6628,0.66,0.658,0.6,0.7333,0.9333,0.4667,0.6667
355,selectfrommodel_rf_5,SelectFromModel-RF-5,SVM_rbf,SVC,5,0.68,0.0884,0.5894,0.6455,0.6867,0.61,0.832,0.6667,0.6667,0.8,0.5333,0.7333
356,selectfrommodel_rf_10,SelectFromModel-RF-10,DT_entropy,DecisionTreeClassifier,10,0.68,0.0499,0.6478,0.6821,0.6498,0.66,0.66,0.6,0.6667,0.7333,0.7333,0.6667
357,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,QDA_reg,QuadraticDiscriminantAnalysis,10,0.68,0.136,0.6469,0.6736,0.6745,0.67,0.744,0.7333,0.7333,0.8667,0.4667,0.6
358,selectfrommodel_rf_10,SelectFromModel-RF-10,DT_pruned,DecisionTreeClassifier,10,0.68,0.0777,0.6442,0.6809,0.6461,0.65,0.654,0.6667,0.6,0.8,0.6,0.7333
359,selectfrommodel_rf_5,SelectFromModel-RF-5,KNN_weighted,KNeighborsClassifier,5,0.68,0.1655,0.6359,0.6698,0.6886,0.64,0.742,0.6,0.7333,0.8667,0.4,0.8
360,selectkbest_f_classif_5,SelectKBest-f_classif-5,RF_extratrees,ExtraTreesClassifier,5,0.68,0.0499,0.6085,0.6613,0.6366,0.62,0.744,0.6667,0.6,0.7333,0.6667,0.7333
361,selectkbest_f_classif_5,SelectKBest-f_classif-5,CatBoost_tuned,CatBoostClassifier,5,0.6667,0.0596,0.6057,0.6541,0.6217,0.62,0.724,0.6667,0.6,0.7333,0.6,0.7333
362,selectkbest_f_classif_5,SelectKBest-f_classif-5,GB_default,GradientBoostingClassifier,5,0.6667,0.1193,0.6253,0.6649,0.641,0.63,0.734,0.7333,0.4667,0.7333,0.6,0.8
363,selectkbest_f_classif_5,SelectKBest-f_classif-5,QDA_reg,QuadraticDiscriminantAnalysis,5,0.6667,0.1738,0.6274,0.647,0.6563,0.66,0.82,0.7333,0.6667,0.8,0.3333,0.8
364,pca_5,PCA-5,QDA_reg,QuadraticDiscriminantAnalysis,5,0.6667,0.1265,0.6464,0.6658,0.67,0.68,0.796,0.6667,0.8,0.8,0.4667,0.6
365,selectkbest_f_classif_5,SelectKBest-f_classif-5,DT_entropy,DecisionTreeClassifier,5,0.6667,0.0596,0.6236,0.664,0.6369,0.63,0.63,0.7333,0.6,0.7333,0.6,0.6667
366,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,GB_tuned,GradientBoostingClassifier,5,0.6667,0.0943,0.6122,0.6554,0.6371,0.63,0.732,0.5333,0.7333,0.6,0.8,0.6667
367,none,No Reduction,DT_default,DecisionTreeClassifier,14,0.6667,0.073,0.6328,0.6691,0.6351,0.64,0.64,0.5333,0.6667,0.7333,0.6667,0.7333
368,selectkbest_f_classif_5,SelectKBest-f_classif-5,DT_default,DecisionTreeClassifier,5,0.6533,0.0653,0.6017,0.6471,0.6165,0.61,0.61,0.7333,0.5333,0.6667,0.6667,0.6667
369,selectfrommodel_rf_5,SelectFromModel-RF-5,MLP_small,MLPClassifier,5,0.6533,0.136,0.5901,0.6335,0.623,0.61,0.792,0.6,0.6,0.8667,0.4667,0.7333
370,selectfrommodel_rf_5,SelectFromModel-RF-5,GB_tuned,GradientBoostingClassifier,5,0.6533,0.0267,0.6184,0.6531,0.627,0.64,0.696,0.6667,0.6667,0.6667,0.6667,0.6
371,pca_5,PCA-5,LDA_default,LinearDiscriminantAnalysis,5,0.6533,0.0499,0.5477,0.6152,0.6377,0.57,0.76,0.7333,0.6667,0.6667,0.6,0.6
372,pca_5,PCA-5,NB_bernoulli,BernoulliNB,5,0.6533,0.0884,0.5808,0.6373,0.5789,0.59,0.67,0.6667,0.5333,0.8,0.6667,0.6
373,pca_5,PCA-5,LDA_solver_svd,LinearDiscriminantAnalysis,5,0.6533,0.0499,0.5477,0.6152,0.6377,0.57,0.76,0.7333,0.6667,0.6667,0.6,0.6
374,pca_5,PCA-5,QDA_default,QuadraticDiscriminantAnalysis,5,0.6533,0.1067,0.6305,0.6556,0.6499,0.66,0.796,0.6667,0.7333,0.8,0.5333,0.5333
375,none,No Reduction,QDA_reg,QuadraticDiscriminantAnalysis,14,0.6533,0.0777,0.6115,0.6458,0.6383,0.64,0.772,0.6667,0.7333,0.7333,0.5333,0.6
376,selectfrommodel_xgb_10,SelectFromModel-XGB-10,NB_gaussian,GaussianNB,10,0.6533,0.0499,0.5762,0.631,0.5823,0.6,0.772,0.6,0.6667,0.6,0.6667,0.7333
377,selectfrommodel_xgb_5,SelectFromModel-XGB-5,NB_gaussian,GaussianNB,5,0.6533,0.0499,0.5762,0.631,0.5823,0.6,0.772,0.6,0.6667,0.6,0.6667,0.7333
378,selectkbest_f_classif_5,SelectKBest-f_classif-5,NB_bernoulli,BernoulliNB,5,0.64,0.0904,0.6282,0.6309,0.7109,0.7,0.762,0.6667,0.6667,0.6667,0.4667,0.7333
379,pca_5,PCA-5,Ridge_default,RidgeClassifier,5,0.64,0.0533,0.489,0.5751,0.5302,0.54,0.76,0.7333,0.6,0.6667,0.6,0.6
380,pca_10,PCA-10,NB_gaussian,GaussianNB,10,0.64,0.1306,0.6149,0.6389,0.6451,0.64,0.776,0.7333,0.7333,0.7333,0.4,0.6
381,selectkbest_f_classif_5,SelectKBest-f_classif-5,GB_tuned,GradientBoostingClassifier,5,0.64,0.068,0.5763,0.6269,0.6031,0.59,0.662,0.7333,0.5333,0.6667,0.6,0.6667
382,pca_10,PCA-10,QDA_reg,QuadraticDiscriminantAnalysis,10,0.64,0.0904,0.6133,0.6406,0.6383,0.64,0.772,0.6667,0.7333,0.7333,0.5333,0.5333
383,selectfrommodel_rf_10,SelectFromModel-RF-10,NB_gaussian,GaussianNB,10,0.64,0.1236,0.5844,0.6234,0.5958,0.62,0.792,0.6667,0.5333,0.7333,0.4667,0.8
384,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,NB_bernoulli,BernoulliNB,5,0.64,0.0904,0.6282,0.6309,0.7109,0.7,0.652,0.6667,0.6667,0.6667,0.4667,0.7333
385,pca_5,PCA-5,Ridge_alpha1,RidgeClassifier,5,0.64,0.0533,0.489,0.5751,0.5302,0.54,0.76,0.7333,0.6,0.6667,0.6,0.6
386,pca_5,PCA-5,DT_entropy,DecisionTreeClassifier,5,0.64,0.0904,0.5857,0.6328,0.5985,0.59,0.59,0.6,0.6667,0.8,0.5333,0.6
387,selectkbest_f_classif_5,SelectKBest-f_classif-5,DT_pruned,DecisionTreeClassifier,5,0.6267,0.1083,0.5538,0.6116,0.6078,0.56,0.6,0.7333,0.5333,0.4667,0.6667,0.7333
388,pca_5,PCA-5,NB_gaussian,GaussianNB,5,0.6267,0.1373,0.6108,0.6222,0.6489,0.66,0.716,0.6,0.8,0.7333,0.4,0.6
389,selectfrommodel_rf_5,SelectFromModel-RF-5,NB_gaussian,GaussianNB,5,0.6133,0.1293,0.5698,0.6002,0.5961,0.6,0.768,0.6667,0.6,0.6,0.4,0.8
390,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,NB_bernoulli,BernoulliNB,10,0.6133,0.0884,0.5979,0.6079,0.6565,0.65,0.662,0.6,0.6667,0.6,0.4667,0.7333
391,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,QDA_reg,QuadraticDiscriminantAnalysis,5,0.6133,0.1809,0.5536,0.5871,0.5927,0.58,0.78,0.6,0.5333,0.7333,0.3333,0.8667
392,selectfrommodel_rf_5,SelectFromModel-RF-5,NB_bernoulli,BernoulliNB,5,0.5867,0.0499,0.4958,0.5612,0.5076,0.52,0.68,0.6,0.5333,0.6,0.5333,0.6667
393,none,No Reduction,NB_gaussian,GaussianNB,14,0.5867,0.1293,0.5795,0.5715,0.6619,0.67,0.75,0.6667,0.6667,0.6667,0.3333,0.6
394,none,No Reduction,NB_bernoulli,BernoulliNB,14,0.5733,0.0904,0.5372,0.5625,0.5907,0.58,0.66,0.6,0.5333,0.5333,0.4667,0.7333
395,selectkbest_f_classif_10,SelectKBest-f_classif-10,NB_bernoulli,BernoulliNB,10,0.5733,0.1162,0.5483,0.5686,0.5779,0.59,0.692,0.6667,0.5333,0.5333,0.4,0.7333
396,selectfrommodel_xgb_10,SelectFromModel-XGB-10,NB_bernoulli,BernoulliNB,10,0.56,0.1436,0.4446,0.5132,0.5122,0.48,0.66,0.6667,0.6,0.4667,0.3333,0.7333
397,selectfrommodel_rf_10,SelectFromModel-RF-10,NB_bernoulli,BernoulliNB,10,0.56,0.0904,0.4708,0.532,0.4886,0.5,0.644,0.6,0.5333,0.6,0.4,0.6667
398,selectfrommodel_xgb_5,SelectFromModel-XGB-5,NB_bernoulli,BernoulliNB,5,0.56,0.1436,0.4446,0.5132,0.5122,0.48,0.66,0.6667,0.6,0.4667,0.3333,0.7333
399,selectkbest_f_classif_10,SelectKBest-f_classif-10,NB_gaussian,GaussianNB,10,0.5467,0.1293,0.5351,0.5232,0.6327,0.63,0.754,0.6,0.6667,0.6667,0.3333,0.4667
400,selectkbest_f_classif_5,SelectKBest-f_classif-5,NB_gaussian,GaussianNB,5,0.5467,0.1293,0.5363,0.5214,0.647,0.64,0.81,0.6667,0.6,0.6667,0.3333,0.4667
401,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,NB_gaussian,GaussianNB,5,0.52,0.1147,0.508,0.4888,0.6387,0.62,0.762,0.5333,0.6,0.6667,0.3333,0.4667
402,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,NB_gaussian,GaussianNB,10,0.52,0.1067,0.5111,0.4934,0.6341,0.62,0.754,0.5333,0.5333,0.6667,0.3333,0.5333
